What gender do you identify with?,What is your age?,Age range,What is your race?,About how much money do you make per year?,What is your highest level of education?,"In politics today, do you consider yourself a Democrat, a Republican, or Independent?","Would you say you are liberal, conservative, or moderate?","Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president?","The typical Hollywood movie star is paid about 10 or 20 million dollars for every movie that they star in. Do you think it is fair that they are paid that much money, or unfair?","If you had to guess, in dollars per hour, what do you think the federal minimum wage is?","And in your opinion, in dollars per hour, what do you believe the federal minimum wage should be?","If you had to guess, in percentage, what do you believe the federal tax rate is for individuals making more than 500 thousand dollars per year?","And in your opinion, in percentage, what do you believe the federal tax rate should be for these individuals?","In general, do you believe that the government should redistribute wealth from the rich to the poor?","If the government were to redistribute wealth, do you think it would personally benefit you?","And if the government were to redistribute wealth, do you think it would benefit most of the people you know?","Would you support a universal basic income, in which every American would receive an annual sum of money from the government to pay for basic needs, like food and housing?",Do you feel that you are being fairly compensated by your employer for the work that you do?,"The average CEO is paid about 16 million dollars per year. Do you think it is fair that they are paid that much money, or unfair?","This next question is about your physical appearance, and you may choose not to respond if it makes you uncomfortable. On a scale of 1-10, how physically attractive are you?"
Male,57,55-64,White,200000,College degree,Republican,Moderate,Strongly Approve,Fair,8,10,30,35,No,No,No,Yes,Yes,Fair,6
Female,63,55-64,White,,High school or less,Republican,Conservative,Strongly Approve,Unfair,8,,35,35,No,No,No,No,DK/REF,Fair,Not attractive at all
Male,47,45-54,Black,750000,High school or less,Democrat,Moderate,Strongly Disapprove,Fair,,,,,Yes,Yes,Yes,Yes,Yes,Unfair,Very attractive
Female,42,35-44,White,,College degree,Republican,Moderate,DK/REF,DK/REF,15,,60,,No,No,No,No,Yes,Unfair,DK/REF
Male,60,55-64,White,24000,Other,Republican,Conservative,Strongly Approve,Unfair,7,11,15,8,No,Yes,Yes,No,No,Unfair,6
Male,66,65+,White,57000,Graduate degree,Democrat,Moderate,Strongly Disapprove,Fair,15.55,18.5,40,40,No,No,Yes,No,Yes,Fair,7
Male,21,18-24,Other,150000,High school or less,Republican,Conservative,Strongly Approve,Fair,9,9,35,25,No,No,No,No,Yes,Fair,Very attractive
Female,26,25-34,White,33000,College degree,Independent,Moderate,Neither approve nor disapprove,Unfair,8,12,1,10,Yes,Yes,Yes,No,No,Fair,7
Male,81,65+,White,55000,Graduate degree,Republican,Conservative,Strongly Approve,Fair,12,12,39,20,No,No,No,No,Yes,Fair,8
Other,21,18-24,DK/REF,850000,High school or less,Democrat,Liberal,Strongly Approve,Unfair,7.5,7.5,25,14,No,No,No,No,DK/REF,Unfair,Very attractive
Female,65,65+,White,20000,College degree,Independent,Moderate,Somewhat Approve,Unfair,7.75,10,25,30,No,No,No,No,Yes,Unfair,DK/REF
Male,70,65+,White,,Some college,DK/REF,Moderate,Somewhat Disapprove,Fair,15,,,,Yes,No,Yes,DK/REF,No,Unfair,DK/REF
Male,22,18-24,White,,Graduate degree,Independent,Moderate,Neither approve nor disapprove,DK/REF,7.25,,25,25,No,Yes,No,No,Yes,Fair,DK/REF
Female,30,25-34,White,37000,College degree,Republican,Conservative,Somewhat Approve,Unfair,7.5,10,,,Yes,No,No,No,No,Fair,6
Male,60,55-64,White,14000,College degree,Independent,Conservative,Somewhat Approve,Unfair,9,15,40,15,No,Yes,Yes,Yes,DK/REF,Unfair,4
Male,81,65+,White,,Some college,Independent,Conservative,Strongly Approve,Fair,12,,24,24,No,DK/REF,DK/REF,No,DK/REF,DK/REF,8
Male,45,45-54,White,,College degree,Democrat,Liberal,Somewhat Disapprove,DK/REF,8,17,25,35,No,No,No,No,No,Unfair,8
Male,54,45-54,White,,College degree,Independent,Conservative,Strongly Approve,Unfair,10,15,35,35,No,No,Yes,No,Yes,Unfair,5
Female,66,65+,White,,Some college,Republican,Moderate,Somewhat Approve,Unfair,,10,30,30,Yes,Yes,Yes,Yes,DK/REF,Unfair,2
Male,91,65+,White,100000,Graduate degree,Democrat,Liberal,Strongly Disapprove,Unfair,15,,20,25,Yes,No,DK/REF,Yes,DK/REF,Unfair,7
Male,68,65+,White,64000,Some college,Independent,Conservative,Somewhat Disapprove,Fair,7.5,8.5,5,15,No,No,No,No,DK/REF,Unfair,5
Female,76,65+,White,,High school or less,DK/REF,DK/REF,Strongly Approve,Unfair,10,15,,,No,No,Yes,No,Yes,Unfair,Not attractive at all
Male,70,65+,White,,Some college,Independent,Conservative,Strongly Disapprove,Unfair,15,15,25,40,Yes,Yes,Yes,Yes,Yes,Unfair,7
Male,63,55-64,White,65000,College degree,Republican,Moderate,Strongly Approve,Unfair,8.3,12,10,,No,No,No,DK/REF,Yes,Unfair,DK/REF
Female,65,65+,White,250000,College degree,Independent,Liberal,Strongly Disapprove,Unfair,12,15,15,40,No,No,No,No,Yes,Unfair,DK/REF
Female,78,65+,White,,Some college,Republican,Conservative,Strongly Approve,Unfair,15,,,,Yes,Yes,Yes,Yes,No,Unfair,9
Male,80,65+,White,,High school or less,Democrat,Conservative,Strongly Disapprove,DK/REF,10,,18,,No,Yes,Yes,Yes,DK/REF,Unfair,5
Male,91,65+,White,,College degree,Independent,Moderate,Neither approve nor disapprove,Unfair,12,15,25,20,Yes,No,Yes,No,Yes,Unfair,8
Female,60,55-64,White,,Some college,Republican,Conservative,Strongly Approve,Unfair,10,12,20,25,No,No,No,No,DK/REF,Unfair,7
Female,79,65+,White,,Some college,Republican,Conservative,Somewhat Approve,Unfair,10,,,,No,Yes,Yes,No,Yes,Unfair,5
Male,62,55-64,White,95000,Graduate degree,Independent,Moderate,Strongly Disapprove,Fair,9.25,15,18,35,No,No,Yes,Yes,Yes,Unfair,5
Female,80,65+,White,,Graduate degree,Republican,Conservative,Strongly Approve,Unfair,8,15,,,No,Yes,No,No,DK/REF,DK/REF,5
Female,85,65+,White,,Some college,Republican,Conservative,Somewhat Approve,Unfair,,,,,No,No,Yes,Yes,Yes,Fair,4
Female,75,65+,White,30000,Some college,Republican,Conservative,Strongly Approve,Fair,7,7,60,40,No,No,No,No,DK/REF,Unfair,8
Female,69,65+,White,10000,Some college,Republican,Moderate,DK/REF,Fair,10.75,15,5,3,Yes,Yes,Yes,Yes,No,Unfair,8
Male,78,65+,White,15000,Some college,Republican,Conservative,Strongly Approve,DK/REF,9.5,10,,10,No,No,No,No,DK/REF,Fair,5
Male,67,65+,White,160000,Other,Independent,Moderate,Strongly Disapprove,Unfair,15,25,39,20,No,No,No,Yes,Yes,Unfair,8
Female,88,65+,White,,Some college,DK/REF,Moderate,Somewhat Approve,Unfair,,,,,No,No,No,No,DK/REF,DK/REF,7
Female,71,65+,White,20000,Some college,DK/REF,Conservative,Strongly Approve,Unfair,15,15,30,40,No,Yes,Yes,Yes,Yes,Unfair,5
Female,27,25-34,White,,Other,Independent,Moderate,Somewhat Approve,Unfair,7.25,10,7,3,Yes,Yes,Yes,No,Yes,Unfair,6
Female,77,65+,White,,High school or less,Democrat,Conservative,Strongly Disapprove,DK/REF,8,,,,No,No,No,No,DK/REF,DK/REF,Very attractive
Male,73,65+,White,95000,Graduate degree,Republican,Conservative,Somewhat Approve,Unfair,14,15,28,33,No,No,No,Yes,No,Unfair,5
Female,75,65+,White,,High school or less,Republican,Conservative,Somewhat Approve,Unfair,12,12,,,No,No,No,No,Yes,Fair,5
Female,81,65+,White,,Other,Democrat,Liberal,Strongly Disapprove,Unfair,15,15,30,50,Yes,DK/REF,DK/REF,Yes,DK/REF,Unfair,7
Female,73,65+,White,24000,College degree,Democrat,Moderate,Strongly Disapprove,DK/REF,14,,35,25,Yes,Yes,Yes,Yes,DK/REF,Unfair,DK/REF
Female,75,65+,White,,High school or less,Independent,Moderate,Somewhat Approve,Unfair,9.5,15,10,2,No,No,No,No,No,Unfair,8
Male,37,35-44,White,27000,High school or less,Independent,Moderate,Strongly Approve,Fair,8,10,,,No,No,DK/REF,No,Yes,Unfair,5
Male,75,65+,White,40000,Some college,Independent,Conservative,Somewhat Disapprove,Unfair,12,15.5,30,32,Yes,No,No,No,DK/REF,Unfair,DK/REF
Female,76,65+,Latino,46000,Some college,Independent,Conservative,Somewhat Approve,Unfair,15,18,1,,Yes,Yes,Yes,No,Yes,Unfair,5
Female,70,65+,White,,Graduate degree,Independent,Moderate,Strongly Approve,Unfair,15,15,,,Yes,No,No,Yes,Yes,Unfair,8
Female,92,65+,White,,College degree,Republican,Conservative,Strongly Approve,DK/REF,15,20,,,No,No,No,No,No,DK/REF,7
Female,91,65+,White,,College degree,Democrat,Conservative,Somewhat Approve,DK/REF,,,,,No,No,No,No,Yes,Unfair,5
Female,71,65+,White,,College degree,Independent,Moderate,Strongly Approve,Unfair,8,10,,25,Yes,Yes,Yes,No,DK/REF,Unfair,DK/REF
Male,68,65+,White,75000,Graduate degree,Republican,Moderate,Strongly Approve,Fair,15,,,,No,No,No,No,Yes,Fair,7
Female,81,65+,White,30000,High school or less,Independent,Moderate,Strongly Disapprove,DK/REF,9,12,,,No,DK/REF,No,Yes,DK/REF,DK/REF,3
Female,86,65+,White,20000,Some college,Democrat,DK/REF,Strongly Disapprove,Unfair,15,15,30,,DK/REF,Yes,Yes,Yes,Yes,Unfair,4
Male,45,45-54,White,,High school or less,Republican,Conservative,Strongly Approve,Fair,9.75,,,,No,No,No,No,Yes,Fair,5
Female,76,65+,White,,High school or less,Republican,Moderate,Somewhat Approve,Unfair,,,,,No,Yes,Yes,Yes,No,Unfair,DK/REF
Female,82,65+,White,,High school or less,DK/REF,Moderate,Neither approve nor disapprove,DK/REF,,,,,No,No,No,No,DK/REF,DK/REF,9
Female,19,18-24,White,20000,College degree,Republican,Moderate,Strongly Approve,Fair,8,11,47,13,Yes,No,Yes,Yes,Yes,Fair,7
Male,64,55-64,White,,High school or less,Independent,Conservative,Strongly Approve,Unfair,7.5,9,20,15,No,No,No,No,DK/REF,Unfair,9
Female,80,65+,White,,Some college,Republican,Conservative,Strongly Approve,DK/REF,15,,,,No,No,No,No,DK/REF,DK/REF,4
Female,44,35-44,White,17000,High school or less,Democrat,Moderate,Somewhat Approve,Unfair,7.2,10,7,9,No,Yes,Yes,Yes,Yes,Unfair,5
Female,70,65+,White,,College degree,DK/REF,DK/REF,Strongly Disapprove,Fair,10,,,,No,No,No,DK/REF,Yes,DK/REF,6
Male,68,65+,White,28000,High school or less,Republican,Moderate,Somewhat Approve,Unfair,12,12,25,25,Yes,No,No,Yes,Yes,Unfair,7
Male,60,55-64,White,,Some college,Republican,Conservative,Strongly Approve,Fair,12,15,,,No,No,No,No,No,Unfair,6
Male,71,65+,Black,35000,High school or less,Democrat,Moderate,Somewhat Approve,Unfair,,10.5,,,Yes,Yes,Yes,Yes,DK/REF,Unfair,Very attractive
Male,20,18-24,White,70000,Graduate degree,Independent,Moderate,Neither approve nor disapprove,Fair,8,15,35,35,No,No,Yes,Yes,Yes,Unfair,6
Male,79,65+,White,,High school or less,Democrat,Conservative,Strongly Disapprove,DK/REF,7.5,10,,,Yes,No,No,Yes,Yes,Unfair,7
Female,73,65+,White,,Some college,Independent,Moderate,Strongly Disapprove,Unfair,11,15,37,37,Yes,No,No,Yes,Yes,Unfair,DK/REF
Female,52,45-54,White,25000,High school or less,Republican,Moderate,Strongly Approve,Fair,7.75,9.5,7,7,No,Yes,No,No,Yes,Fair,DK/REF
Female,83,65+,Black,,DK/REF,Democrat,DK/REF,DK/REF,DK/REF,,,,,DK/REF,DK/REF,DK/REF,No,No,DK/REF,DK/REF
Female,71,65+,Black,,Some college,Democrat,Liberal,Strongly Disapprove,DK/REF,15,14,,,Yes,No,Yes,DK/REF,DK/REF,Unfair,5
DK/REF,94,65+,DK/REF,1000,High school or less,Independent,DK/REF,DK/REF,Unfair,10,10,20,20,No,No,No,No,Yes,Fair,DK/REF
Female,55,55-64,White,50000,High school or less,Republican,Liberal,Strongly Approve,Unfair,15,15,25,10,No,No,Yes,Yes,No,Unfair,5
Male,56,55-64,White,50000,College degree,DK/REF,DK/REF,DK/REF,Fair,12.5,12.5,40,50,No,No,No,No,Yes,Unfair,7
DK/REF,74,65+,Black,,Graduate degree,DK/REF,DK/REF,Strongly Approve,Fair,15,6,35,,No,No,No,No,Yes,Fair,Very attractive
Female,59,55-64,White,48000,College degree,Democrat,Liberal,Strongly Disapprove,Fair,8.5,10,,1,Yes,Yes,Yes,Yes,No,Unfair,5
Female,64,55-64,White,,College degree,Independent,Moderate,Somewhat Disapprove,Unfair,7.25,9,33,,No,Yes,No,No,Yes,Unfair,4
Male,60,55-64,White,50000,Graduate degree,Republican,Conservative,Strongly Approve,Unfair,9.75,9.75,32,32,No,No,No,No,Yes,Unfair,2
Female,55,55-64,White,,Graduate degree,Republican,Conservative,DK/REF,Unfair,9.35,9.35,30,30,No,No,No,No,Yes,Unfair,DK/REF
Other,35,35-44,Asian,70000,High school or less,Independent,Moderate,Strongly Approve,Fair,8,8,40,50,Yes,Yes,Yes,Yes,No,Fair,9
Male,52,45-54,Asian,450000,Graduate degree,Independent,Moderate,Somewhat Disapprove,Fair,14,25,40,35,Yes,Yes,No,No,Yes,Unfair,DK/REF
Female,66,65+,White,25000,Some college,Independent,Liberal,Strongly Disapprove,Unfair,7.5,15,20,30,Yes,No,No,Yes,DK/REF,Unfair,5
Female,28,25-34,White,36000,College degree,Independent,Liberal,Somewhat Disapprove,Unfair,10,15,,,Yes,No,No,No,No,Fair,8
Female,47,45-54,White,48000,Some college,Democrat,Moderate,Strongly Disapprove,Fair,8.5,9,,20,Yes,No,No,Yes,Yes,Unfair,8
Male,67,65+,White,65000,Some college,Republican,Conservative,Strongly Approve,Unfair,40,25,25,20,No,No,No,No,Yes,DK/REF,8
Male,48,45-54,White,,Graduate degree,Independent,Moderate,Strongly Disapprove,Fair,9.25,15,33,50,Yes,No,Yes,DK/REF,Yes,Unfair,8
Male,57,55-64,White,80000,College degree,Republican,Conservative,Strongly Approve,DK/REF,8,9,,10,No,No,No,No,No,Unfair,8
Female,60,55-64,White,,College degree,Independent,Conservative,Somewhat Approve,Unfair,25,7.75,30,25,No,No,No,No,Yes,Unfair,DK/REF
Female,51,45-54,White,25000,College degree,Republican,Conservative,Somewhat Approve,Unfair,9,9,28,28,No,No,No,No,Yes,Unfair,7
Male,71,65+,White,,Some college,Independent,DK/REF,Strongly Disapprove,Fair,12,12,,,No,No,No,No,Yes,Fair,5
Male,50,45-54,White,24000,Some college,Republican,Moderate,Strongly Approve,Unfair,5.75,5,10,10,No,Yes,No,No,Yes,Unfair,8
Male,54,45-54,Asian,90000,College degree,Republican,Conservative,Neither approve nor disapprove,Fair,8,10,20,40,No,Yes,Yes,No,Yes,Unfair,6
Male,45,45-54,White,100000,Some college,Independent,Moderate,Somewhat Approve,Fair,8.5,9,35,33,No,No,No,No,Yes,Fair,6
Male,56,55-64,Black,,Graduate degree,Democrat,Liberal,Strongly Disapprove,Fair,7.5,10,18,18,No,Yes,Yes,Yes,No,DK/REF,Very attractive
Female,30,25-34,White,30000,Other,DK/REF,Liberal,Strongly Disapprove,Unfair,10.75,20,,25,Yes,Yes,Yes,Yes,No,Unfair,7
Female,64,55-64,White,50000,College degree,Republican,Moderate,Neither approve nor disapprove,Fair,11,11,30,35,No,No,No,No,Yes,Unfair,6
Male,62,55-64,White,80000,College degree,Independent,Moderate,Somewhat Disapprove,Fair,7.25,7.25,39,39,No,No,No,No,Yes,Fair,DK/REF
Female,46,45-54,White,140000,Graduate degree,Independent,Moderate,Strongly Disapprove,Fair,10,,27,,No,No,No,No,Yes,Fair,7
Female,48,45-54,Asian,,Graduate degree,Democrat,Moderate,Strongly Disapprove,Unfair,12,12,22,22,Yes,No,No,Yes,No,Unfair,Very attractive
Female,51,45-54,White,42000,Other,Republican,Conservative,Somewhat Approve,Unfair,10,15,4,60,No,No,No,No,No,Fair,6
Female,90,65+,White,,Some college,Democrat,Conservative,Strongly Disapprove,DK/REF,,,,,DK/REF,No,No,No,DK/REF,DK/REF,3
Female,26,25-34,White,,College degree,DK/REF,DK/REF,Neither approve nor disapprove,DK/REF,7.25,,,,No,No,No,No,DK/REF,Fair,DK/REF
Male,43,35-44,Black,68000,Some college,Independent,Moderate,Somewhat Disapprove,Unfair,10,11,15,25,No,No,No,No,Yes,Unfair,7
Male,19,18-24,White,,Other,Republican,Conservative,Neither approve nor disapprove,Fair,7.25,10,10,20,No,No,Yes,No,Yes,Fair,5
Female,24,18-24,White,,Some college,DK/REF,Moderate,Strongly Disapprove,Fair,9.25,,15,20,No,Yes,Yes,No,No,Unfair,DK/REF
Female,53,45-54,White,140000,High school or less,Independent,Conservative,Somewhat Approve,Fair,8,8,30,15,No,No,No,No,Yes,Fair,7
Male,79,65+,White,,High school or less,Independent,Conservative,Strongly Approve,DK/REF,,,,15,No,DK/REF,DK/REF,No,Yes,Unfair,DK/REF
Female,56,55-64,White,100000,High school or less,Democrat,Moderate,Strongly Disapprove,Fair,8.5,12,,,Yes,Yes,No,Yes,Yes,Unfair,7
Female,67,65+,White,,College degree,Republican,Moderate,Strongly Approve,Unfair,8.5,10,34,35,No,No,No,Yes,No,Unfair,8
Male,77,65+,White,,College degree,Independent,Conservative,DK/REF,DK/REF,9,12,,10,DK/REF,DK/REF,No,No,Yes,Unfair,Not attractive at all
Male,52,45-54,White,200000,High school or less,Independent,Moderate,Neither approve nor disapprove,Fair,7.35,10,28,24,No,No,No,No,Yes,Fair,5
Other,21,18-24,Asian,186000,College degree,Republican,Conservative,Strongly Approve,Fair,8,,,,No,No,No,No,Yes,Fair,Very attractive
Male,55,55-64,White,50000,Graduate degree,Republican,Conservative,Strongly Approve,Fair,12,16,22,22,No,No,No,Yes,Yes,Unfair,8
Male,80,65+,White,82000,College degree,Democrat,Conservative,Somewhat Approve,Fair,7.25,9.5,39,39,No,No,No,No,Yes,Fair,5
Female,64,55-64,White,70000,College degree,Independent,Moderate,Somewhat Approve,Fair,7.25,7.25,28,28,Yes,No,No,No,Yes,Fair,5
Female,27,25-34,White,,College degree,Democrat,Moderate,Strongly Disapprove,Fair,7.25,15,15,15,Yes,No,No,Yes,No,Unfair,8
Male,31,25-34,Latino,25000,College degree,Democrat,Liberal,Neither approve nor disapprove,Unfair,30,30,3,10,Yes,Yes,Yes,No,Yes,Fair,7
Male,64,55-64,Black,,Graduate degree,Independent,Moderate,DK/REF,Unfair,7.5,7.5,20,40,No,No,No,No,No,Unfair,8
Male,53,45-54,White,,Some college,Democrat,Conservative,DK/REF,Unfair,8,8,,,Yes,Yes,Yes,Yes,Yes,Unfair,8
Male,82,65+,White,,Some college,Independent,Conservative,Neither approve nor disapprove,Fair,10,,,,No,DK/REF,DK/REF,No,DK/REF,Fair,7
Female,40,35-44,Black,,Graduate degree,Democrat,Moderate,Strongly Disapprove,Unfair,10,12,5,,Yes,Yes,Yes,DK/REF,Yes,Unfair,DK/REF
Female,35,35-44,White,20000,College degree,Democrat,Liberal,Strongly Disapprove,Fair,9.75,11,,,Yes,Yes,Yes,No,Yes,Unfair,Very attractive
Female,60,55-64,Latino,,High school or less,DK/REF,Conservative,Somewhat Disapprove,Fair,13,13,,,No,No,No,Yes,DK/REF,DK/REF,5
Female,70,65+,White,,High school or less,Independent,Moderate,Strongly Disapprove,Fair,12,,,,Yes,Yes,Yes,Yes,No,Unfair,8
Male,73,65+,Black,100000,College degree,Democrat,Moderate,Strongly Disapprove,Fair,8,15,10,20,Yes,No,Yes,No,Yes,Fair,8
Male,85,65+,White,30000,Graduate degree,Independent,Conservative,Strongly Approve,Unfair,10,10,,,No,Yes,No,No,No,Unfair,Very attractive
Female,79,65+,White,,High school or less,Republican,Moderate,Strongly Approve,Unfair,10,8,8,60,No,No,No,No,No,Unfair,7
Male,68,65+,Black,,High school or less,Independent,DK/REF,Strongly Disapprove,Unfair,,,,,Yes,No,No,Yes,Yes,Unfair,8
Other,32,25-34,Asian,20000,High school or less,Independent,DK/REF,Strongly Approve,DK/REF,,,,,Yes,DK/REF,DK/REF,No,Yes,DK/REF,3
Female,75,65+,Black,16000,High school or less,Democrat,DK/REF,Strongly Disapprove,Fair,15,18,,,Yes,Yes,No,Yes,DK/REF,Unfair,9
Female,61,55-64,White,,High school or less,Republican,Conservative,Strongly Approve,Unfair,7.5,8,,,No,DK/REF,Yes,No,Yes,Unfair,DK/REF
Male,75,65+,White,22000,High school or less,DK/REF,Conservative,Strongly Approve,DK/REF,15,10,25,25,No,Yes,No,No,Yes,Fair,6
Female,75,65+,Black,,College degree,Independent,Liberal,Strongly Disapprove,Fair,7,15,,,Yes,Yes,Yes,No,No,Unfair,Very attractive
Female,49,45-54,Black,,High school or less,Republican,DK/REF,Strongly Disapprove,DK/REF,,,,,DK/REF,DK/REF,DK/REF,Yes,DK/REF,DK/REF,3
Male,71,65+,White,,Some college,Republican,Conservative,Strongly Approve,Unfair,20,15,25,25,No,No,No,No,Yes,Unfair,7
Male,89,65+,White,,College degree,Democrat,Moderate,Strongly Disapprove,Fair,8,15,12,20,No,No,DK/REF,No,DK/REF,Unfair,5
Female,76,65+,White,,College degree,Republican,Conservative,Strongly Approve,DK/REF,,10,,,DK/REF,Yes,No,No,DK/REF,DK/REF,7
Female,76,65+,White,,Graduate degree,Republican,Moderate,Somewhat Disapprove,DK/REF,8,10,,,Yes,No,No,DK/REF,DK/REF,DK/REF,7
Female,84,65+,White,,High school or less,Independent,Conservative,Neither approve nor disapprove,Fair,,,,,Yes,No,No,No,No,Unfair,8
Male,65,65+,Black,50000,DK/REF,Democrat,Moderate,Strongly Disapprove,Fair,10,15,,,Yes,Yes,Yes,DK/REF,No,Unfair,DK/REF
Male,70,65+,Asian,,Graduate degree,Democrat,Moderate,Strongly Disapprove,Unfair,10,10,30,30,Yes,No,Yes,No,Yes,Unfair,7
Male,69,65+,White,100000,College degree,Democrat,Moderate,Strongly Disapprove,DK/REF,7.25,10,28,44,Yes,No,Yes,Yes,DK/REF,Unfair,5
Female,70,65+,White,,College degree,Republican,Moderate,Strongly Approve,Fair,12,20,25,25,Yes,Yes,Yes,No,No,Unfair,2
Female,74,65+,White,,High school or less,Democrat,Liberal,Strongly Disapprove,Unfair,,15,,,No,No,Yes,Yes,DK/REF,Unfair,8
Female,65,65+,White,50000,High school or less,Republican,Conservative,Strongly Approve,Unfair,10,,,25,No,Yes,Yes,No,Yes,Unfair,6
Female,80,65+,White,,Some college,Independent,Moderate,Strongly Approve,Fair,,12,,,No,Yes,Yes,No,DK/REF,DK/REF,6
Female,53,45-54,Black,,Graduate degree,Democrat,Liberal,DK/REF,Fair,7.5,10,50,,Yes,No,No,No,Yes,Fair,DK/REF
Female,55,55-64,White,30000,Some college,Republican,Liberal,Strongly Approve,Fair,11.25,15,10,20,Yes,No,Yes,Yes,Yes,Unfair,7
Male,71,65+,White,50000,Some college,Republican,Conservative,Strongly Approve,Fair,,8.5,58,50,No,No,No,No,Yes,DK/REF,7
Male,58,55-64,White,,High school or less,Democrat,Liberal,Strongly Approve,Unfair,7.75,,,,No,DK/REF,No,Yes,No,Unfair,6
Male,63,55-64,Asian,,High school or less,Republican,Conservative,Strongly Approve,Unfair,10,16,,,DK/REF,No,No,No,DK/REF,Unfair,8
Female,51,45-54,White,50000,Some college,Republican,Conservative,Somewhat Approve,Fair,8.5,9.5,20,25,No,No,No,No,Yes,Unfair,8
Male,27,25-34,White,50000,High school or less,Independent,Moderate,Somewhat Approve,Unfair,40,25,,4,Yes,Yes,Yes,Yes,No,Unfair,7
Female,25,25-34,White,,High school or less,DK/REF,DK/REF,Somewhat Approve,Unfair,8,13,,,No,Yes,Yes,Yes,DK/REF,Unfair,6
Male,20,18-24,White,15000,Some college,Republican,Moderate,Strongly Approve,Unfair,9.25,10,30,20,Yes,No,No,Yes,No,Fair,8
Female,82,65+,White,,Some college,Republican,Conservative,Strongly Approve,Fair,8,10,,,No,Yes,Yes,No,No,DK/REF,9
Female,37,35-44,Black,40000,College degree,Democrat,Conservative,Strongly Disapprove,Unfair,8,15,,,Yes,No,No,Yes,Yes,Unfair,Very attractive
Male,68,65+,White,,College degree,Republican,Conservative,Somewhat Approve,Unfair,8,10,,,Yes,Yes,Yes,No,No,Unfair,6
Male,76,65+,White,40000,Some college,Independent,Conservative,Strongly Approve,Fair,25,25,20,20,No,No,No,No,Yes,Unfair,Very attractive
Male,61,55-64,White,,Graduate degree,Independent,Conservative,Somewhat Approve,Fair,8,,35,30,No,No,Yes,Yes,Yes,Fair,7
Male,68,65+,White,60000,Some college,Democrat,Moderate,Strongly Disapprove,Fair,15,15,25,25,No,No,No,No,DK/REF,Unfair,6
Male,65,65+,White,42000,High school or less,Independent,Moderate,Somewhat Approve,DK/REF,8,18,47,47,Yes,No,Yes,No,No,Unfair,7
Female,86,65+,White,,High school or less,Independent,Liberal,Strongly Disapprove,Unfair,10,15,,,No,No,Yes,DK/REF,No,Unfair,9
Male,21,18-24,White,,High school or less,DK/REF,DK/REF,Neither approve nor disapprove,Fair,10,7.25,8,10,No,No,No,No,No,Fair,7
Female,55,55-64,Asian,60000,College degree,Independent,Moderate,Strongly Approve,Unfair,10,10,30,30,No,No,No,Yes,Yes,Unfair,DK/REF
Male,65,65+,White,,Some college,Republican,Conservative,Strongly Approve,Fair,7,,,,No,No,No,No,Yes,Fair,8
Male,80,65+,Black,125000,Graduate degree,DK/REF,DK/REF,Neither approve nor disapprove,Fair,7.25,10,,,Yes,No,Yes,Yes,DK/REF,Unfair,Very attractive
Male,67,65+,White,80000,College degree,Independent,Conservative,Strongly Approve,Unfair,8,,36,45,Yes,No,No,No,Yes,Fair,6
Male,30,25-34,White,50000,Graduate degree,Independent,Conservative,Strongly Approve,Fair,,,30,,No,Yes,No,No,Yes,Fair,5
Male,37,35-44,White,60000,High school or less,Republican,Conservative,Strongly Approve,Unfair,20,10,40,10,Yes,Yes,Yes,No,Yes,Unfair,5
Male,79,65+,White,,Some college,Republican,Conservative,Strongly Approve,Unfair,8,10,30,,No,No,No,No,DK/REF,Unfair,5
Female,58,55-64,White,20000,Graduate degree,Democrat,Moderate,Somewhat Disapprove,Unfair,9.5,15,15,15,No,Yes,Yes,No,Yes,Unfair,7
Female,62,55-64,White,45000,Some college,Independent,Moderate,Strongly Disapprove,DK/REF,7.5,15,5,10,No,Yes,Yes,No,Yes,DK/REF,6
Male,56,55-64,White,45000,High school or less,Republican,Conservative,Strongly Approve,Unfair,8.15,10,7,5,No,No,No,No,Yes,Unfair,DK/REF
Male,77,65+,White,50000,Some college,Democrat,Moderate,Strongly Disapprove,Unfair,7.5,10.35,3,25,No,No,Yes,Yes,Yes,Unfair,5
Female,53,45-54,White,165000,Graduate degree,Republican,Moderate,Somewhat Disapprove,DK/REF,12,,,15,No,No,No,No,Yes,Unfair,8
Male,65,65+,White,,Other,Democrat,DK/REF,Strongly Disapprove,Unfair,,,70,70,Yes,No,Yes,DK/REF,Yes,Unfair,7
Female,68,65+,White,24000,High school or less,Republican,Conservative,Somewhat Approve,Fair,13,,,,No,No,No,No,Yes,DK/REF,7
Male,59,55-64,White,40000,College degree,Independent,Conservative,Somewhat Approve,Unfair,10,10,40,11,Yes,Yes,Yes,No,Yes,Unfair,6
Female,54,45-54,White,,Graduate degree,Republican,Moderate,Neither approve nor disapprove,Unfair,8.25,8.25,41,41,Yes,No,No,No,No,Unfair,6
Female,73,65+,White,55000,Graduate degree,Democrat,Liberal,Strongly Disapprove,Unfair,8,15,10,45,Yes,Yes,Yes,Yes,Yes,Unfair,DK/REF
Male,75,65+,White,10000,Some college,Democrat,Liberal,Somewhat Approve,Fair,10,25,,,Yes,Yes,Yes,Yes,Yes,Fair,Very attractive
Male,64,55-64,White,60000,High school or less,Republican,Liberal,Strongly Approve,Fair,15,15,,,Yes,No,No,Yes,Yes,Fair,4
